year,field_of_study,major,students
2007,Intensive English,Intensive English,25856.0
2007,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",865.0
2007,Legal Studies and Law Enforcement,Legal Professions and Studies,6598.0
2007,Math and Computer Science,Computer and Information Sciences,34819.0
2007,Math and Computer Science,Mathematics and Statistics,11494.0
2007,Other Fields of Study,Basic Skills,
2007,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3276.0
2007,Other Fields of Study,Liberal Arts and Sciences/General Studies,29248.0
2007,Other Fields of Study,Library Science,809.0
2007,Other Fields of Study,Multi/Interdisciplinary Studies,8760.0
2007,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2975.0
2007,Other Fields of Study,Personal and Culinary Services,865.0
2007,Other Fields of Study,Reserve Officer Training Corps,
2007,Physical and Life Sciences,Biological and Biomedical Sciences,29159.0
2007,Physical and Life Sciences,Physical Sciences,22942.0
2007,Physical and Life Sciences,Science Technologies/Technicians,766.0
2007,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2204.0
2007,Social Sciences,History,2112.0
2007,Social Sciences,Psychology,7981.0
2007,Social Sciences,Public Administration and Social Service Professions,5446.0
2007,Social Sciences,Social Sciences,27792.0
2007,Undeclared,Undeclared,19215.0
2008,Agriculture,Agriculture,6294.0
2008,Agriculture,Natural Resources and Conservation,2667.0
2008,Business and Management,Business and Management,137495.0
2008,Communications and Journalism,"Communication, Journalism",10885.0
2008,Communications and Journalism,Communications Technologies/Technicians,2081.0
2008,Education,Education,18120.0
2008,Engineering,Construction Trades,602.0
2008,Engineering,Engineering,111532.0
2008,Engineering,Engineering Technologies/Technicians,5228.0
2008,Engineering,Mechanic and Repair Technologies/Technicians,515.0
2008,Engineering,Military Technologies,358.0
2008,Engineering,Precision Production,56.0
2008,Engineering,Transportation and Materials Moving,1047.0
2008,Fine and Applied Arts,Architecture,7202.0
2008,Fine and Applied Arts,Visual and Performing Arts,27652.0
2008,Health Professions,Health Professions,35064.0
2008,Health Professions,Residency Programs,382.0
2008,Humanities,English Language and Literature/Letters,5745.0
2008,Humanities,"Foreign Languages, Literatures and Linguistics",6726.0
2008,Humanities,Philosophy and Religious Studies,3008.0
2008,Humanities,Theology and Religious Vocations,3700.0
2008,Intensive English,Intensive English,28524.0
2008,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1089.0
2008,Legal Studies and Law Enforcement,Legal Professions and Studies,8700.0
2008,Math and Computer Science,Computer and Information Sciences,43050.0
2008,Math and Computer Science,Mathematics and Statistics,13317.0
2008,Other Fields of Study,Basic Skills,
2008,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2763.0
2008,Other Fields of Study,Liberal Arts and Sciences/General Studies,37681.0
2008,Other Fields of Study,Library Science,466.0
2008,Other Fields of Study,Multi/Interdisciplinary Studies,9695.0
2008,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3628.0
2008,Other Fields of Study,Personal and Culinary Services,1070.0
2008,Other Fields of Study,Reserve Officer Training Corps,
2008,Physical and Life Sciences,Biological and Biomedical Sciences,34144.0
2008,Physical and Life Sciences,Physical Sciences,26302.0
2008,Physical and Life Sciences,Science Technologies/Technicians,1253.0
2008,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2321.0
2008,Social Sciences,History,2546.0
2008,Social Sciences,Psychology,9269.0
2008,Social Sciences,Public Administration and Social Service Professions,6253.0
2008,Social Sciences,Social Sciences,32242.0
2008,Undeclared,Undeclared,20944.0
2009,Agriculture,Agriculture,6942.0
2009,Agriculture,Natural Resources and Conservation,3346.0
2009,Business and Management,Business and Management,144294.0
2009,Communications and Journalism,"Communication, Journalism",11695.0
2009,Communications and Journalism,Communications Technologies/Technicians,2717.0
2009,Education,Education,18301.0
2009,Engineering,Construction Trades,179.0
2009,Engineering,Engineering,117325.0
2009,Engineering,Engineering Technologies/Technicians,8026.0
2009,Engineering,Mechanic and Repair Technologies/Technicians,463.0
2009,Engineering,Military Technologies,1.0
2009,Engineering,Precision Production,38.0
2009,Engineering,Transportation and Materials Moving,1412.0
2009,Fine and Applied Arts,Architecture,7944.0
2009,Fine and Applied Arts,Visual and Performing Arts,27863.0
2009,Health Professions,Health Professions,32105.0
2009,Health Professions,Residency Programs,394.0
2009,Humanities,English Language and Literature/Letters,5952.0
